# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age
200   B0559-57      2.261365 3.0e-09 2.78e-15 9.0e-17    0.553 1.29e+07

201   B0559-05      0.395969 5.0e-13 1.30e-15 5.0e-21    2.083 4.82e+06
202   J0608+00      1.076200       0      NaN       0    1.311    NaN
203   J0608+1635    0.945845 3.0e-12 1.35e-14 1.8e-19    1.651 1.11e+06
204   J0609+2130    0.055698 2.0e-14 2.35e-19 2.0e-21    0.574 3.76e+09
205   J0611+04      1.674430       0      NaN       0    1.662    NaN

206   J0611+1436    0.270329 3.0e-11 4.00e-15 3.0e-18    0.807 1.07e+06
207   J0611+30      1.412090 3.0e-06      NaN       0    1.080    NaN
208   B0609+37      0.297982 1.8e-13 5.95e-17 1.8e-21    0.535 7.94e+07
209   J0612+37216   0.443871 2.0e-11 1.50e-16 1.4e-17    1.083 4.70e+07
210   J0613+3731    0.619198 7.0e-11 3.24e-15 2.0e-18    0.186 3.02e+06

211   B0611+22      0.334960 1.6e-10 5.94e-14 1.2e-18    3.571 8.93e+04
212   J0614+83      1.039203 5.1e-05      NaN       0    3.699    NaN
213   J0621+0336    0.269954 9.0e-13 7.24e-18 6.0e-20    1.701 5.91e+08
214   J0622+3749    0.333208 6.0e-12 2.54e-14 5.0e-19      NaN 2.08e+05
215   J0623+0340    0.613760 7.0e-12 8.84e-17 3.0e-20    1.375 1.10e+08

216   B0621-04      1.039076 1.5e-12 8.30e-16 1.2e-20    1.938 1.98e+07
217   J0625+10      0.498397 3.0e-06      NaN       0    1.637    NaN
218   J0627+0649    0.346523 1.3e-11 1.70e-15 3.0e-18    1.794 3.23e+06
219   J0627+0706    0.475885 3.0e-12 2.98e-14 1.2e-19    2.289 2.53e+05
220   J0627+16      2.180000       0      NaN       0    1.932    NaN

221   J0628+0909    1.241421 3.0e-12 5.48e-16 2.0e-19    1.771 3.59e+07
222   B0626+24      0.476623 4.0e-12 2.00e-15 3.0e-20    3.125 3.78e+06
223   J0630-0046    0.680575 7.0e-12 3.75e-15 1.9e-18    2.109 2.88e+06
224   J0630+19      1.248550       0      NaN       0    0.982    NaN
225   B0628-28      1.244419 8.0e-11 7.12e-15 3.0e-19    0.320 2.77e+06

226   J0631+0646    0.110979 8.0e-13 3.62e-15 3.0e-20    4.583 4.86e+05
227   J0631+1036    0.287800 9.0e-12 1.05e-13 1.7e-18    2.105 4.36e+04
228   J0633+0632    0.297395 7.0e-11 7.96e-14 3.0e-18    1.355 5.92e+04
229   J0633+1746    0.237099 2.0e-12 1.10e-14 5.0e-20    0.190 3.42e+05
230   J0633-2015    3.253211 5.0e-10 3.82e-15 8.0e-17    3.676 1.35e+07

231   J0635+0533    0.033856 1.2e-08      NaN       0      NaN    NaN
232   J0636-23      0.476000 0.0e+00      NaN       0    2.815    NaN
233   J0636-4549    1.984597 4.0e-11 3.17e-15 2.0e-18    0.383 9.91e+06
234   J0645+80      0.657873 2.4e-05      NaN       0    5.145    NaN
235   J0646+0905    0.903913 8.0e-11 7.36e-16 1.7e-19    2.504 1.95e+07

236   J0647+0913    1.234854 3.0e-11 6.42e-15 8.0e-18    2.666 3.05e+06
237   J0648-27      4.169000 0.0e+00      NaN       0    9.987    NaN
238   J0652-0142    0.924054 1.4e-11 1.52e-16 1.2e-18    2.318 9.60e+07
239   B0643+80      1.214441 2.0e-12 3.80e-15 1.5e-20    2.348 5.07e+06
240   J0656-2228    1.224754 3.0e-11 2.67e-17 1.7e-18    1.623 7.27e+08

241   J0656-5449    0.183157 2.0e-12 3.19e-17 9.0e-20    0.372 9.09e+07
242   J0658+0022    0.563295 3.0e-12 9.15e-15 1.3e-19    2.301 9.75e+05
243   B0656+14      0.384929 3.0e-12 5.49e-14 1.2e-19    0.288 1.11e+05
244   J0659-36      0.637000 0.0e+00      NaN       0    3.916    NaN
245   B0655+64      0.195671 1.6e-13 6.85e-19 1.2e-21    0.413 4.52e+09

246   J0702-4956    0.665994 5.0e-10      NaN       0    0.538    NaN
247   J0709+0458    0.034429 1.2e-15 3.80e-19 4.0e-23    1.203 1.43e+09
248   J0709-5923    0.485268 5.0e-12 1.26e-16 2.0e-19    0.371 6.10e+07
249   J0711+0931    1.214090 1.0e-11 4.00e-16 1.0e-16    1.168 4.81e+07
250   J0719-2545    0.974725 9.0e-12 7.28e-15 7.0e-19    9.810 2.12e+06

251   J0720-3125    8.391116 2.6e-08 6.98e-14 2.2e-16    0.400 1.90e+06
252   J0725-1635    0.424311 1.1e-12 9.26e-17 1.1e-20    2.778 7.26e+07
253   J0726-2612    3.442308 4.0e-10 2.93e-13 4.0e-17    2.900 1.86e+05
254   J0729-1448    0.251659 1.3e-11 1.13e-13 4.0e-19    2.681 3.52e+04
255   B0727-18      0.510160 3.0e-11 1.90e-14 1.9e-19    2.000 4.26e+05

256   J0733-2345    1.796250 1.0e-10 5.70e-15 1.0e-17    4.122 4.99e+06
257   J0734-1559    0.156250       0 1.22e-14       0      NaN 2.03e+05
258   J0736-6304    4.862874 7.0e-10 1.52e-13 2.5e-16    0.104 5.07e+05
259   J0737-2202    0.320366 5.0e-12 5.47e-15 1.1e-19    3.059 9.28e+05
260   J0737-3039B   2.773461 8.0e-11 8.92e-16 8.0e-18    1.100 4.92e+07

261   B0736-40      0.374921 1.5e-12 1.38e-15 6.0e-20    1.600 4.32e+06
262   J0738+6904    6.827693 5.0e-10 2.70e-14 4.0e-17    1.124 4.01e+06
263   B0740-28      0.166762 2.0e-11 1.68e-14 1.4e-19    2.000 1.57e+05
264   J0742+4334    0.606191 6.0e-12 3.71e-16 2.0e-18    1.610 2.59e+07
265   J0744-2525    0.091996       0 9.56e-16       0      NaN 1.52e+06

266   B0743-53      0.214839 5.0e-12 2.19e-15 7.0e-20    0.565 1.56e+06
267   J0746-4529    2.791025 5.0e-11 1.67e-14 5.0e-18    0.810 2.65e+06
268   J0747+6646    0.407701 5.0e-12 6.78e-16 4.0e-18    1.865 9.52e+06
269   J0749-4247    1.095452 1.4e-11 9.77e-16 4.0e-19    0.560 1.78e+07
270   J0750+57      1.174875 6.5e-05      NaN       0    1.604    NaN

271   J0750-6846    0.915216 7.0e-11 1.10e-16 7.0e-19    0.338 1.32e+08
272   J0753-0816    2.093620       0      NaN       0    1.718    NaN
273   B0751+32      1.442349 3.0e-12 1.08e-15 1.7e-20    1.464 2.12e+07
274   B0756-15      0.682265 1.4e-12 1.62e-15 1.4e-20    2.710 6.68e+06
275   J0758-30      1.092000 0.0e+00      NaN       0    0.444    NaN

276   J0802-5613    0.273973       0 2.76e-15       0      NaN 1.57e+06
277   J0803-0942    0.571257 1.4e-11 1.16e-15 1.7e-18    0.818 7.80e+06
278   J0804-3647    2.191987 1.5e-10 4.21e-15 3.0e-17    2.916 8.25e+06
279   J0806+08      2.063100       0      NaN       0    1.848    NaN
280   J0806-4123   11.370386 1.2e-07 5.56e-14 3.0e-14      NaN 3.24e+06

281   J0807-5421    0.526644 3.0e-11 3.78e-16 1.0e-18    0.887 2.21e+07
282   J0808-3937    0.866349 3.0e-11 4.01e-16 3.0e-18    2.884 3.42e+07
283   B0808-47      0.547202 3.0e-12 3.08e-15 3.0e-19    6.488 2.82e+06
284   J0811+37      1.248300       0      NaN       0    0.355    NaN
285   J0812-3905    0.482596 4.0e-12 4.49e-17 1.2e-18    5.860 1.70e+08

286   J0813+22      0.531400       0      NaN       0    2.449    NaN
287   B0809+74      1.292241 3.0e-12 1.68e-16 1.4e-20    0.432 1.22e+08
288   J0815+0939    0.645161 5.0e-11 1.39e-16 6.0e-18    2.491 7.35e+07
289   J0815+4611    0.434242 2.0e-13 3.90e-18 1.0e-19    0.358 1.76e+09
290   J0818-3049    0.763742 5.0e-10 5.80e-16 2.4e-16    0.422 2.09e+07

291   J0818-3232    2.161259 1.5e-11 7.53e-16 5.0e-19    0.484 4.55e+07
292   B0818-13      1.238130 8.0e-13 2.11e-15 7.0e-21    1.900 9.32e+06
293   J0820-3826    0.124837 5.0e-13 2.44e-15 8.0e-20    4.084 8.10e+05
294   J0820-3921    1.073567 4.0e-11 1.22e-14 4.0e-18    3.576 1.40e+06
295   B0818-41      0.545446 3.0e-10 1.98e-17 6.0e-20    0.571 4.37e+08

296   J0821-4221    0.396728 1.9e-12 3.48e-15 7.0e-20    5.802 1.81e+06
297   J0821-4300    0.112799 5.0e-12 9.28e-18 4.0e-19    2.200 1.93e+08
298   B0820+02      0.864873 9.0e-13 1.05e-16 6.0e-21    2.500 1.31e+08
299   B0823+26      0.530661 3.0e-11 1.71e-15 9.0e-20    0.498 4.92e+06
300   B0826-34      1.848919 1.1e-10 9.96e-16 5.0e-19    0.354 2.94e+07

301   J0831-4406    0.311674 1.1e-11 1.28e-15 6.0e-18    5.883 3.86e+06
302   J0834-4159    0.121118 1.8e-12 4.28e-15 3.0e-21    5.508 4.48e+05
303   J0834-60      0.384645 6.0e-06      NaN       0    0.095    NaN
304   J0835-3707    0.541404 1.5e-11 9.78e-15 9.0e-18    0.555 8.77e+05
305   B0833-45      0.089328 4.0e-12 1.25e-13 1.6e-17    0.280 1.13e+04

306   J0836-4233    0.738436 4.0e-11 1.32e-15 4.0e-18    3.609 8.86e+06
