         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   59   9.537218E+03   7.232058E-01   3.280E+14   1.035E+34   1.919E-01      6.894E-01   4.342E-01   7.426E-01   1.740E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.859E+08   1.173E+09   1.000E+00   00000   8.985E-01   8.985E-01  3p2   N/A    N/A    N/A 
   60   9.590799E+03   7.331958E-01   3.259E+14   1.008E+34   1.906E-01      6.872E-01   4.308E-01   7.396E-01   1.737E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.842E+08   1.221E+09   1.000E+00   00000   8.992E-01   8.992E-01  3p2   N/A    N/A    N/A 
   61   9.643788E+03   7.430754E-01   3.237E+14   9.805E+33   1.894E-01      6.851E-01   4.274E-01   7.366E-01   1.733E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.825E+08   1.268E+09   1.000E+00   00000   8.998E-01   8.998E-01  3p2   N/A    N/A    N/A 
   62   9.696201E+03   7.528477E-01   3.216E+14   9.538E+33   1.882E-01      6.830E-01   4.240E-01   7.336E-01   1.730E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.806E+08   1.312E+09   1.000E+00   00000   9.004E-01   9.004E-01  3p2   N/A    N/A    N/A 
   63   9.748053E+03   7.625153E-01   3.195E+14   9.274E+33   1.871E-01      6.809E-01   4.206E-01   7.306E-01   1.727E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.787E+08   1.355E+09   1.000E+00   00000   9.010E-01   9.010E-01  3p2   N/A    N/A    N/A 
   64   9.799359E+03   7.723454E-01   3.171E+14   9.023E+33   1.857E-01      6.785E-01   4.167E-01   7.272E-01   1.723E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.765E+08   1.403E+09   1.000E+00   00000   9.017E-01   9.017E-01  3p2   N/A    N/A    N/A 
   65   9.850134E+03   7.822322E-01   3.146E+14   8.780E+33   1.842E-01      6.759E-01   4.124E-01   7.236E-01   1.719E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.738E+08   1.452E+09   1.000E+00   00000   9.025E-01   9.025E-01  3p2   N/A    N/A    N/A 
   66   9.900391E+03   7.920182E-01   3.120E+14   8.540E+33   1.828E-01      6.733E-01   4.082E-01   7.200E-01   1.714E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.711E+08   1.501E+09   1.000E+00   00000   9.033E-01   9.033E-01  3p2   N/A    N/A    N/A 
   67   9.950143E+03   8.017058E-01   3.095E+14   8.303E+33   1.813E-01      6.707E-01   4.039E-01   7.164E-01   1.710E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.682E+08   1.548E+09   1.000E+00   00000   9.040E-01   9.040E-01  3p2   N/A    N/A    N/A 
   68   9.999401E+03   8.112973E-01   3.070E+14   8.068E+33   1.799E-01      6.682E-01   3.997E-01   7.128E-01   1.706E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.653E+08   1.594E+09   1.000E+00   00000   9.047E-01   9.047E-01  3p2   N/A    N/A    N/A 
