#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.264E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  133   1.1798969E+004  6.8732605E+013  8.6517406E-001  6.3299265E+016    8.5775766E+009  4.9978140E+003    0.0000000E+000  1.7076866E+020  0.0000000E+000  0.0000000E+000
  131   1.1767496E+004  7.4220273E+013  8.6479230E-001  6.2967752E+016    8.6034666E+009  5.4036608E+003    0.0000000E+000  1.8735380E+020  0.0000000E+000  0.0000000E+000
  129   1.1736023E+004  8.0146081E+013  8.6441071E-001  6.2637112E+016    8.6294943E+009  5.8582437E+003    0.0000000E+000  1.9995504E+020  0.0000000E+000  0.0000000E+000
  127   1.1704550E+004  8.6545010E+013  8.6402929E-001  6.6706511E+016    8.6556606E+009  6.4320787E+003    0.0000000E+000  2.1960657E+020  0.0000000E+000  0.0000000E+000
  125   1.1666738E+004  9.3454836E+013  8.6356522E-001  7.8071521E+016    8.6873425E+009  7.0705097E+003    0.0000000E+000  2.4119289E+020  0.0000000E+000  0.0000000E+000
  123   1.1627046E+004  1.0091635E+014  8.6307684E-001  7.7538419E+016    8.7208350E+009  7.7623884E+003    0.0000000E+000  2.6479044E+020  0.0000000E+000  0.0000000E+000
  121   1.1587354E+004  1.0897359E+014  8.6258874E-001  7.7007143E+016    8.7545549E+009  8.5125916E+003    0.0000000E+000  2.9044958E+020  0.0000000E+000  0.0000000E+000
  119   1.1547662E+004  1.1767413E+014  8.6210092E-001  8.1315723E+016    8.7885045E+009  9.3191151E+003    0.0000000E+000  3.1817713E+020  0.0000000E+000  0.0000000E+000
  117   1.1488906E+004  1.2706933E+014  8.6137166E-001  1.3877296E+017    8.8392649E+009  1.0300110E+004    0.0000000E+000  3.4912260E+020  0.0000000E+000  0.0000000E+000
  115   1.1416126E+004  1.3721465E+014  8.6046544E-001  1.3696746E+017    8.9028970E+009  1.1378142E+004    0.0000000E+000  3.8585191E+020  0.0000000E+000  0.0000000E+000
  113   1.1343347E+004  1.4816999E+014  8.5956016E-001  1.3954227E+017    8.9673383E+009  2.3251012E+004    0.0000000E+000  4.2513830E+020  0.0000000E+000  0.0000000E+000
  111   1.1248288E+004  1.6000000E+014  8.5836946E-001  1.6492636E+017    9.0527455E+009 -2.8736960E+000    5.9980159E+028  1.2061070E+021  0.0000000E+000  0.0000000E+000
  109   1.1180321E+004  1.6721123E+014  8.5751545E-001  1.2321945E+017    9.0617568E+009 -2.8103245E+000    6.3761227E+028  1.2733983E+021  0.0000000E+000  0.0000000E+000
  107   1.1111517E+004  1.7451123E+014  8.5665179E-001  1.2314331E+017    9.0708885E+009 -2.7016506E+000    6.7479192E+028  1.3408445E+021  0.0000000E+000  0.0000000E+000
  105   1.1041850E+004  1.8190285E+014  8.5577817E-001  1.2306700E+017    9.0801444E+009 -2.6574634E+000    7.1153301E+028  1.3909818E+021  0.0000000E+000  0.0000000E+000
  103   1.0971293E+004  1.8877493E+014  8.5488988E-001  1.2297340E+017    9.0895754E+009 -1.8405573E+000    7.4542433E+028  1.4467834E+021  0.0000000E+000  0.0000000E+000
  101   1.0899817E+004  1.9534340E+014  8.5398813E-001  1.2286766E+017    9.0991708E+009 -2.2950884E+000    7.7850488E+028  1.5232760E+021  8.9005724E+018  0.0000000E+000
   99   1.0827391E+004  2.0199918E+014  8.5307536E-001  1.2275849E+017    9.1089035E+009 -2.4268264E+000    8.1266495E+028  1.5880084E+021  3.8100751E+019  0.0000000E+000
   97   1.0753983E+004  2.0874521E+014  8.5215121E-001  1.2264852E+017    9.1187788E+009 -2.5207584E+000    8.4758830E+028  1.6507191E+021  8.0691057E+019  0.0000000E+000
   95   1.0679558E+004  2.1558466E+014  8.5121529E-001  1.2253342E+017    9.1288018E+009 -2.4966797E+000    8.8298768E+028  1.7123996E+021  1.3054200E+020  0.0000000E+000
   93   1.0604082E+004  2.2219940E+014  8.5026755E-001  1.2240889E+017    9.1389739E+009 -2.3723104E+000    9.1746817E+028  1.7707036E+021  1.8282377E+020  0.0000000E+000
